epoch,accuracy,loss,val_accuracy,val_loss
0,0.8736607432365417,0.5081106424331665,0.9690476059913635,0.1070985272526741
1,0.9873511791229248,0.04745546355843544,0.9851190447807312,0.056645311415195465
2,0.9938988089561462,0.02274095080792904,0.9505952596664429,0.1399231106042862
3,0.9964285492897034,0.01720345765352249,0.9869047403335571,0.05237855762243271
4,0.9988095164299011,0.005455820821225643,0.9940476417541504,0.016768544912338257
5,0.9998511672019958,0.0019158667419105768,0.9958333373069763,0.011780369095504284
6,0.9997023940086365,0.0018208966357633471,0.9964285492897034,0.010782941244542599
7,1.0,0.0006205207318998873,0.9964285492897034,0.00926473829895258
8,1.0,0.00039016600931063294,0.9970238208770752,0.009921904653310776
9,1.0,0.00031853048130869865,0.9970238208770752,0.0086202472448349
10,1.0,0.0002612402895465493,0.9970238208770752,0.008878308348357677
11,1.0,0.00022246164735406637,0.9970238208770752,0.009025285951793194
12,1.0,0.00019117871124763042,0.9970238208770752,0.008612645789980888
13,1.0,0.00016507359396200627,0.9976190328598022,0.009042725898325443
14,1.0,0.0001442003413103521,0.9970238208770752,0.009408349171280861
15,1.0,0.00012548283848445863,0.9976190328598022,0.008600647561252117
16,1.0,0.00011108468606835231,0.9970238208770752,0.008715538308024406
17,1.0,9.765497816260904e-05,0.9970238208770752,0.00852872896939516
18,1.0,8.685004286235198e-05,0.9976190328598022,0.00813324935734272
19,1.0,7.573572656838223e-05,0.9970238208770752,0.008339333347976208
